date,year,month,week_of_year,sarima_forecast,rf_forecast,ensemble_forecast,month_name
2026-01-05,2026,1,2,102096.74813759937,96189.875,99143.31156879969,January
2026-01-12,2026,1,3,103150.03717665943,96185.835,99667.93608832972,January
2026-01-19,2026,1,4,103260.49653017738,95179.185,99219.84076508868,January
2026-01-26,2026,1,5,102563.50823692593,95683.56,99123.53411846297,January
2026-02-02,2026,2,6,101771.923044812,98039.19,99905.556522406,February
2026-02-09,2026,2,7,99025.77684089166,97049.84,98037.80842044583,February
2026-02-16,2026,2,8,104869.98534320312,97804.095,101337.04017160156,February
2026-02-23,2026,2,9,107154.34402538638,99124.4,103139.37201269319,February
2026-03-02,2026,3,10,109696.56665608699,99821.32,104758.9433280435,March
2026-03-09,2026,3,11,107490.52498796307,101042.5,104266.51249398154,March
2026-03-16,2026,3,12,107273.41501548055,101233.53,104253.47250774028,March
2026-03-23,2026,3,13,108483.43643197951,101068.36,104775.89821598976,March
2026-03-30,2026,3,14,108648.33249141052,101385.795,105017.06374570527,March
2026-04-06,2026,4,15,110065.74646576631,101731.03333333333,105898.38989954982,April
2026-04-13,2026,4,16,107461.39801863811,101242.97333333333,104352.18567598572,April
2026-04-20,2026,4,17,108585.89740843218,102587.84333333332,105586.87037088275,April
2026-04-27,2026,4,18,88864.48706388341,102857.30958333332,95860.89832360836,April
2026-05-04,2026,5,19,75688.44612482752,102625.96622619047,89157.206175509,May
2026-05-11,2026,5,20,107595.27374809589,102637.14789285715,105116.21082047652,May
2026-05-18,2026,5,21,110427.49484289563,102665.52122619048,106546.50803454305,May
2026-05-25,2026,5,22,90263.49720073504,103818.51833333334,97041.0077670342,May
2026-06-01,2026,6,23,83362.22449877285,103456.8175,93409.52099938643,June
2026-06-08,2026,6,24,89384.74443400721,103196.2175,96290.4809670036,June
2026-06-15,2026,6,25,102952.67921319739,100415.785,101684.2321065987,June
2026-06-22,2026,6,26,98110.9768881915,99343.445,98727.21094409574,June
2026-06-29,2026,6,27,100567.31134955035,98645.78,99606.54567477517,June
2026-07-06,2026,7,28,103782.97226602116,101400.8675,102591.91988301057,July
