Month_Number,Month_Name,Total_Passengers,Avg_Weekly,Week_Count
10,October,2497041.1961309616,113501.87255140734,22
9,September,2362935.0511065936,112520.7167193616,21
8,August,2444077.095712524,111094.41344147836,22
3,March,2442754.4520289027,111034.29327404103,22
7,July,2536738.5310438536,110292.97961060233,23
2,February,2178790.332271677,108939.51661358385,20
1,January,2334295.590158409,106104.3450072004,22
6,June,2225499.197092657,105976.15224250748,21
4,April,2286690.116266903,103940.45983031378,22
5,May,2146941.3371072137,97588.24259578245,22
11,November,2118703.0166990617,96304.68257723008,22
12,December,1749533.2586787175,83311.10755612941,21
