carrier,year,week,date,forecasted_passengers,market_share,date_key,month_name
NJ Transit,2026,2,2026-01-05,84035.35790423103,0.9069741970291797,20260105,January
NJ Transit,2026,3,2026-01-12,84480.03751565846,0.9069741970291797,20260112,January
NJ Transit,2026,4,2026-01-19,84100.2251988423,0.9069741970291797,20260119,January
NJ Transit,2026,5,2026-01-26,84018.59424069004,0.9069741970291797,20260126,January
NJ Transit,2026,6,2026-02-02,84681.44815957367,0.9069741970291797,20260202,February
NJ Transit,2026,7,2026-02-09,83098.31685460157,0.9069741970291797,20260209,February
NJ Transit,2026,8,2026-02-16,85894.79517099286,0.9069741970291797,20260216,February
NJ Transit,2026,9,2026-02-23,87422.47867209544,0.9069741970291797,20260223,February
NJ Transit,2026,10,2026-03-02,88795.25161041354,0.9069741970291797,20260302,March
NJ Transit,2026,11,2026-03-09,88377.85984965156,0.9069741970291797,20260309,March
NJ Transit,2026,12,2026-03-16,88366.80696173092,0.9069741970291797,20260316,March
NJ Transit,2026,13,2026-03-23,88809.6228277377,0.9069741970291797,20260323,March
NJ Transit,2026,14,2026-03-30,89014.03834788846,0.9069741970291797,20260330,March
NJ Transit,2026,15,2026-04-06,89761.0636146135,0.9069741970291797,20260406,April
NJ Transit,2026,16,2026-04-13,88450.4777237027,0.9069741970291797,20260413,April
NJ Transit,2026,17,2026-04-20,89497.01498973448,0.9069741970291797,20260420,April
NJ Transit,2026,18,2026-04-27,81253.13520575051,0.9069741970291797,20260427,April
NJ Transit,2026,19,2026-05-04,75570.9851945076,0.9069741970291797,20260504,May
NJ Transit,2026,20,2026-05-11,89098.07689553953,0.9069741970291797,20260511,May
NJ Transit,2026,21,2026-05-18,90310.41826674838,0.9069741970291797,20260518,May
NJ Transit,2026,22,2026-05-25,82253.41367007873,0.9069741970291797,20260525,May
NJ Transit,2026,23,2026-06-01,79175.31101832309,0.9069741970291797,20260601,June
NJ Transit,2026,24,2026-06-08,81617.25589746366,0.9069741970291797,20260608,June
NJ Transit,2026,25,2026-06-15,86189.08026251617,0.9069741970291797,20260615,June
NJ Transit,2026,26,2026-06-22,83682.66477377307,0.9069741970291797,20260622,June
NJ Transit,2026,27,2026-06-29,84428.00208035464,0.9069741970291797,20260629,June
NJ Transit,2026,28,2026-07-06,86958.45003591872,0.9069741970291797,20260706,July
NJ Transit,2026,29,2026-07-13,88638.62977054725,0.9069741970291797,20260713,July
NJ Transit,2026,30,2026-07-20,89415.82815766199,0.9069741970291797,20260720,July
NJ Transit,2026,31,2026-07-27,88246.07406838365,0.9069741970291797,20260727,July
NJ Transit,2026,32,2026-08-03,88192.31685575211,0.9069741970291797,20260803,August
NJ Transit,2026,33,2026-08-10,88193.62313871706,0.9069741970291797,20260810,August
NJ Transit,2026,34,2026-08-17,88191.48200585532,0.9069741970291797,20260817,August
NJ Transit,2026,35,2026-08-24,89421.295532206,0.9069741970291797,20260824,August
NJ Transit,2026,36,2026-08-31,88936.33263146755,0.9069741970291797,20260831,August
NJ Transit,2026,37,2026-09-07,89756.69128739611,0.9069741970291797,20260907,September
NJ Transit,2026,38,2026-09-14,86661.8414088888,0.9069741970291797,20260914,September
NJ Transit,2026,39,2026-09-21,89021.17859714967,0.9069741970291797,20260921,September
NJ Transit,2026,40,2026-09-28,89988.16332022069,0.9069741970291797,20260928,September
NJ Transit,2026,41,2026-10-05,88967.07254450565,0.9069741970291797,20261005,October
NJ Transit,2026,42,2026-10-12,89906.65826884171,0.9069741970291797,20261012,October
NJ Transit,2026,43,2026-10-19,90304.31100246738,0.9069741970291797,20261019,October
NJ Transit,2026,44,2026-10-26,90487.9127237785,0.9069741970291797,20261026,October
NJ Transit,2026,45,2026-11-02,91519.82914607604,0.9069741970291797,20261102,November
NJ Transit,2026,46,2026-11-09,89339.23733781332,0.9069741970291797,20261109,November
NJ Transit,2026,47,2026-11-16,65357.19415434982,0.9069741970291797,20261116,November
NJ Transit,2026,48,2026-11-23,61408.63885746845,0.9069741970291797,20261123,November
NJ Transit,2026,49,2026-11-30,67772.08161987855,0.9069741970291797,20261130,November
NJ Transit,2026,50,2026-12-07,71613.79895659622,0.9069741970291797,20261207,December
NJ Transit,2026,51,2026-12-14,57339.1391886158,0.9069741970291797,20261214,December
NJ Transit,2026,52,2026-12-21,52185.18742138253,0.9069741970291797,20261221,December
NJ Transit,2026,53,2026-12-28,53654.27294498683,0.9069741970291797,20261228,December
NJ Transit,2027,1,2027-01-04,87160.89656238703,0.9788956304134828,20270104,January
NJ Transit,2027,2,2027-01-11,87078.70706744233,0.9788956304134828,20270111,January
NJ Transit,2027,3,2027-01-18,87112.49347938142,0.9788956304134828,20270118,January
NJ Transit,2027,4,2027-01-25,86851.69975041797,0.9788956304134828,20270125,January
NJ Transit,2027,5,2027-02-01,89685.27829482997,0.9788956304134828,20270201,February
NJ Transit,2027,6,2027-02-08,89610.62690722682,0.9788956304134828,20270208,February
NJ Transit,2027,7,2027-02-15,90964.93253219198,0.9788956304134828,20270215,February
NJ Transit,2027,8,2027-02-22,91279.99389635284,0.9788956304134828,20270222,February
NJ Transit,2027,9,2027-03-01,92772.6282533674,0.9788956304134828,20270301,March
NJ Transit,2027,10,2027-03-08,91094.32983777064,0.9788956304134828,20270308,March
NJ Transit,2027,11,2027-03-15,92861.5410549704,0.9788956304134828,20270315,March
NJ Transit,2027,12,2027-03-22,92501.75673350165,0.9788956304134828,20270322,March
NJ Transit,2027,13,2027-03-29,92630.00687982448,0.9788956304134828,20270329,March
NJ Transit,2027,14,2027-04-05,93616.41894601882,0.9788956304134828,20270405,April
NJ Transit,2027,15,2027-04-12,90911.45434269801,0.9788956304134828,20270412,April
NJ Transit,2027,16,2027-04-19,92176.88779010015,0.9788956304134828,20270419,April
NJ Transit,2027,17,2027-04-26,57484.39620182611,0.9788956304134828,20270426,April
NJ Transit,2027,18,2027-05-03,55253.86248493717,0.9788956304134828,20270503,May
NJ Transit,2027,19,2027-05-10,93122.21614361083,0.9788956304134828,20270510,May
NJ Transit,2027,20,2027-05-17,92305.79381844394,0.9788956304134828,20270517,May
NJ Transit,2027,21,2027-05-24,57628.142019023835,0.9788956304134828,20270524,May
NJ Transit,2027,22,2027-05-31,56271.25471147923,0.9788956304134828,20270531,May
NJ Transit,2027,23,2027-06-07,88858.26098638083,0.9788956304134828,20270607,June
NJ Transit,2027,24,2027-06-14,90009.1035998631,0.9788956304134828,20270614,June
NJ Transit,2027,25,2027-06-21,86780.68855480393,0.9788956304134828,20270621,June
NJ Transit,2027,26,2027-06-28,87391.82088243788,0.9788956304134828,20270628,June
NJ Transit,2027,27,2027-07-05,87836.42931589333,0.9788956304134828,20270705,July
NJ Transit,2027,28,2027-07-12,88628.04007403563,0.9788956304134828,20270712,July
NJ Transit,2027,29,2027-07-19,91240.0052674342,0.9788956304134828,20270719,July
NJ Transit,2027,30,2027-07-26,92147.56516354134,0.9788956304134828,20270726,July
NJ Transit,2027,31,2027-08-02,91422.08601995249,0.9788956304134828,20270802,August
NJ Transit,2027,32,2027-08-09,92490.70392029513,0.9788956304134828,20270809,August
NJ Transit,2027,33,2027-08-16,92285.23283733889,0.9788956304134828,20270816,August
NJ Transit,2027,34,2027-08-23,92288.95810024616,0.9788956304134828,20270823,August
NJ Transit,2027,35,2027-08-30,92611.27663939862,0.9788956304134828,20270830,August
