date,year,month,week_of_year,sarima_forecast,rf_forecast,ensemble_forecast,date_key,month_name,quarter_name,day_of_year,is_peak_month,is_low_month
2026-01-05,2026,1,2,102096.74813759937,96189.875,99143.31156879969,20260105,January,Q1,5,0,0
2026-01-12,2026,1,3,103150.03717665943,96185.835,99667.93608832972,20260112,January,Q1,12,0,0
2026-01-19,2026,1,4,103260.49653017738,95179.185,99219.84076508868,20260119,January,Q1,19,0,0
2026-01-26,2026,1,5,102563.50823692593,95683.56,99123.53411846297,20260126,January,Q1,26,0,0
2026-02-02,2026,2,6,101771.923044812,98039.19,99905.556522406,20260202,February,Q1,33,0,0
2026-02-09,2026,2,7,99025.77684089166,97049.84,98037.80842044583,20260209,February,Q1,40,0,0
2026-02-16,2026,2,8,104869.98534320312,97804.095,101337.04017160156,20260216,February,Q1,47,0,0
2026-02-23,2026,2,9,107154.34402538638,99124.4,103139.37201269319,20260223,February,Q1,54,0,0
2026-03-02,2026,3,10,109696.56665608699,99821.32,104758.9433280435,20260302,March,Q1,61,0,0
2026-03-09,2026,3,11,107490.52498796307,101042.5,104266.51249398154,20260309,March,Q1,68,0,0
2026-03-16,2026,3,12,107273.41501548055,101233.53,104253.47250774028,20260316,March,Q1,75,0,0
2026-03-23,2026,3,13,108483.43643197951,101068.36,104775.89821598976,20260323,March,Q1,82,0,0
2026-03-30,2026,3,14,108648.33249141052,101385.795,105017.06374570527,20260330,March,Q1,89,0,0
2026-04-06,2026,4,15,110065.74646576631,101731.03333333333,105898.38989954982,20260406,April,Q2,96,0,0
2026-04-13,2026,4,16,107461.39801863811,101242.97333333333,104352.18567598572,20260413,April,Q2,103,0,0
2026-04-20,2026,4,17,108585.89740843218,102587.84333333332,105586.87037088275,20260420,April,Q2,110,0,0
2026-04-27,2026,4,18,88864.48706388341,102857.30958333332,95860.89832360836,20260427,April,Q2,117,0,0
2026-05-04,2026,5,19,75688.44612482752,102625.96622619047,89157.206175509,20260504,May,Q2,124,0,0
2026-05-11,2026,5,20,107595.27374809589,102637.14789285715,105116.21082047652,20260511,May,Q2,131,0,0
2026-05-18,2026,5,21,110427.49484289563,102665.52122619048,106546.50803454305,20260518,May,Q2,138,0,0
2026-05-25,2026,5,22,90263.49720073504,103818.51833333334,97041.0077670342,20260525,May,Q2,145,0,0
2026-06-01,2026,6,23,83362.22449877285,103456.8175,93409.52099938643,20260601,June,Q2,152,0,0
2026-06-08,2026,6,24,89384.74443400721,103196.2175,96290.4809670036,20260608,June,Q2,159,0,0
2026-06-15,2026,6,25,102952.67921319739,100415.785,101684.2321065987,20260615,June,Q2,166,0,0
2026-06-22,2026,6,26,98110.9768881915,99343.445,98727.21094409574,20260622,June,Q2,173,0,0
2026-06-29,2026,6,27,100567.31134955035,98645.78,99606.54567477517,20260629,June,Q2,180,0,0
2026-07-06,2026,7,28,103782.97226602116,101400.8675,102591.91988301057,20260706,July,Q3,187,0,0
2026-07-13,2026,7,29,104802.00899051626,104346.31875,104574.16387025814,20260713,July,Q3,194,0,0
2026-07-20,2026,7,30,106066.64664146097,104915.52875,105491.08769573049,20260720,July,Q3,201,0,0
2026-07-27,2026,7,31,105283.47964548742,102938.58864285712,104111.03414417227,20260727,July,Q3,208,0,0
2026-08-03,2026,8,32,105162.78451164415,102932.44030952381,104047.61241058397,20260803,August,Q3,215,1,0
2026-08-10,2026,8,33,105171.25176707137,102927.05530952381,104049.1535382976,20260810,August,Q3,222,1,0
2026-08-17,2026,8,34,105060.39129835801,103032.86364285713,104046.62747060758,20260817,August,Q3,229,1,0
2026-08-24,2026,8,35,108033.83735690489,102961.23864285713,105497.53799988101,20260824,August,Q3,236,1,0
2026-08-31,2026,8,36,107108.58240587672,102742.19364285714,104925.38802436693,20260831,August,Q3,243,1,0
2026-09-07,2026,9,37,108893.57352267588,102892.88949999999,105893.23151133794,20260907,September,Q3,250,1,0
2026-09-14,2026,9,38,101783.73212032765,102700.24125,102241.98668516384,20260914,September,Q3,257,1,0
2026-09-21,2026,9,39,107127.15326771245,102923.82208333332,105025.48767552289,20260921,September,Q3,264,1,0
2026-09-28,2026,9,40,109965.25809674745,102367.3775,106166.31779837373,20260928,September,Q3,271,1,0
