carrier,total_passengers_5yr,avg_weekly
NJ Transit,23443130.360558674,90165.88600214875
Coach USA,1615587.7906041944,6213.799194631517
Lakeland,470371.5323778881,1809.1212783764927
Academy,350695.7440533915,1348.8297848207367
HCEE - Community,334853.8018044545,1287.8992377094403
Peter Pan/Bonanza,325284.8042264631,1251.0954008710119
Greyhound,277344.8428737573,1066.7109341298358
Martz,163484.56875011855,628.7868028850713
TransBridge,153389.61177719393,589.9600452968997
Trailways,113952.88783808376,438.2803378387837
DeCamp,75903.22943325585,291.93549782021483
