date,week,year,carrier,route,buses,passengers,date_parsed,month,quarter,week_of_year,day_of_year,month_name
30/11 - 6/12,Week 49,2020,Academy,commuter,37.0,615.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,Greyhound,intercity,36.0,750.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,Martz,commuter,17.0,486.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,NJ Transit,commuter,2108.0,26512.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,Lakeland,commuter,13.0,274.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,Trailways,intercity,11.0,212.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,Coach USA,commuter,83.0,1626.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,TransBridge,commuter,12.0,319.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,Peter Pan/Bonanza,intercity,14.0,301.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,C & J Bus Lines,commuter,1.0,7.0,2020-11-30,11.0,4.0,49,335.0,November
30/11 - 6/12,Week 49,2020,HCEE - Community,commuter,74.0,1199.0,2020-11-30,11.0,4.0,49,335.0,November
7/12 - 11/12,Week 50,2020,HCEE - Community,commuter,74.0,1199.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,C & J Bus Lines,commuter,1.0,8.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Peter Pan/Bonanza,intercity,12.0,251.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Coach USA,commuter,83.0,1605.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Trailways,intercity,11.0,188.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,TransBridge,commuter,12.0,310.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,NJ Transit,commuter,2199.0,27174.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Martz,commuter,14.0,475.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Greyhound,intercity,33.0,702.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Academy,commuter,37.0,613.0,2020-12-07,12.0,4.0,50,342.0,December
7/12 - 11/12,Week 50,2020,Lakeland,commuter,13.0,280.0,2020-12-07,12.0,4.0,50,342.0,December
14/12 - 18/12,Week 51,2020,HCEE - Community,commuter,75.0,1153.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,C & J Bus Lines,commuter,1.0,8.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Peter Pan/Bonanza,intercity,9.0,244.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,TransBridge,commuter,12.0,307.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Coach USA,commuter,83.0,1604.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Trailways,intercity,11.0,197.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,NJ Transit,commuter,2039.0,26444.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Martz,commuter,13.0,466.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Greyhound,intercity,34.0,771.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Academy,commuter,37.0,581.0,2020-12-14,12.0,4.0,51,349.0,December
14/12 - 18/12,Week 51,2020,Lakeland,commuter,12.0,271.0,2020-12-14,12.0,4.0,51,349.0,December
21/12 - 25/12,Week 52,2020,Coach USA,commuter,83.0,1475.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,HCEE - Community,commuter,69.0,1172.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,Peter Pan/Bonanza,intercity,9.0,244.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,TransBridge,commuter,12.0,340.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,Trailways,intercity,11.0,249.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,C & J Bus Lines,commuter,1.0,6.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,NJ Transit,commuter,2125.0,25008.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,Martz,commuter,13.0,487.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,Greyhound,intercity,40.0,1072.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,Academy,commuter,31.0,568.0,2020-12-21,12.0,4.0,52,356.0,December
21/12 - 25/12,Week 52,2020,Lakeland,commuter,13.0,263.0,2020-12-21,12.0,4.0,52,356.0,December
28/12 - 31/12,Week 53,2020,HCEE - Community,commuter,0.0,0.0,2020-12-28,12.0,4.0,53,363.0,December
