year,week,date_parsed,passengers,buses,month,quarter,week_of_year,passengers_per_bus
2020,Week 49,2020-11-30,32301.0,2406.0,11.0,4.0,49,13.425187032418952
2020,Week 50,2020-12-07,32805.0,2489.0,12.0,4.0,50,13.179991964644435
2020,Week 51,2020-12-14,32046.0,2326.0,12.0,4.0,51,13.777300085984523
2020,Week 52,2020-12-21,30884.0,2407.0,12.0,4.0,52,12.830909846281678
2020,Week 53,2020-12-28,26124.0,2176.0,12.0,4.0,53,12.005514705882353
2021,Week 5,2021-01-01,30725.0,2358.0,1.0,1.0,53,13.03011026293469
2021,Week 1,2021-01-04,31629.0,2431.0,1.0,1.0,1,13.010695187165775
2021,Week 2,2021-01-11,31777.0,2373.0,1.0,1.0,2,13.391066160977665
2021,Week 3,2021-01-18,29413.0,2319.0,1.0,1.0,3,12.683484260457094
2021,Week 4,2021-01-25,32199.0,2336.0,1.0,1.0,4,13.783818493150685
2021,Week 6,2021-02-08,32185.0,2328.0,2.0,1.0,6,13.825171821305842
2021,Week 7,2021-02-15,32827.0,2559.0,2.0,1.0,7,12.828057835091833
2021,Week 8,2021-02-22,32990.0,2359.0,2.0,1.0,8,13.984739296311997
2021,Week 9,2021-03-02,35070.0,2372.0,3.0,1.0,9,14.784991568296796
2021,Week 10,2021-03-08,34906.0,2384.0,3.0,1.0,10,14.641778523489933
2021,Week 11,2021-03-15,34201.0,2426.0,3.0,1.0,11,14.097691673536685
2021,Week 12,2021-03-22,33989.0,2339.0,3.0,1.0,12,14.531423685335614
2021,Week 13,2021-03-29,35640.0,2439.0,3.0,1.0,13,14.612546125461254
2021,Week 14,2021-04-05,37202.0,2549.0,4.0,2.0,14,14.594743036484896
2021,Week 15,2021-04-12,36468.0,2563.0,4.0,2.0,15,14.228638314475225
2021,Week 16,2021-04-19,38491.0,2448.0,4.0,2.0,16,15.7234477124183
2021,Week 17,2021-04-26,39306.0,2583.0,4.0,2.0,17,15.217189314750291
2021,Week 18,2021-05-03,38612.0,2558.0,5.0,2.0,18,15.09460516028147
2021,Week 19,2021-05-10,39775.0,2547.0,5.0,2.0,19,15.616411464468001
2021,Week 20,2021-05-17,41467.0,2446.0,5.0,2.0,20,16.952984464431726
2021,Week 21,2021-05-24,42550.0,2583.0,5.0,2.0,21,16.473093302361594
2021,Week 22,2021-05-31,43933.0,2587.4,5.0,2.0,22,16.97959341423823
2021,Week 23,2021-06-07,43798.0,2617.0,6.0,2.0,23,16.73595720290409
2021,Week 24,2021-06-14,48078.0,2563.0,6.0,2.0,24,18.75848614904409
2021,Week 25,2021-06-21,49076.0,2603.0,6.0,2.0,25,18.853630426431042
2021,Week 26,2021-06-28,49183.0,2523.0,6.0,2.0,26,19.493856520015854
2021,Week 27,2021-07-05,49242.0,2530.0,7.0,3.0,27,19.46324110671937
2021,Week 28,2021-07-12,50581.0,2537.0,7.0,3.0,28,19.93732755222704
2021,Week 29,2021-07-19,49407.0,2488.0,7.0,3.0,29,19.858118971061092
2021,Week 30,2021-07-26,50066.0,2479.0,7.0,3.0,30,20.19604679306172
2021,Week 31,2021-08-02,50193.0,2519.0,8.0,3.0,31,19.925764192139738
2021,Week 32,2021-08-09,50556.0,2545.0,8.0,3.0,32,19.86483300589391
2021,Week 34,2021-08-23,50786.0,2550.0,8.0,3.0,34,19.91607843137255
2021,Week 35,2021-08-30,45835.0,2425.0,8.0,3.0,35,18.901030927835052
2021,Week 36,2021-09-06,51359.0,2537.0,9.0,3.0,36,20.24398896334253
2021,Week 37,2021-09-13,55607.0,2548.0,9.0,3.0,37,21.823783359497646
2021,Week 38,2021-09-20,56204.0,2567.0,9.0,3.0,38,21.894818854694197
2021,Week 39,2021-09-27,56404.0,2578.0,9.0,3.0,39,21.87897595034911
2021,Week 40,2021-10-04,58791.0,2588.0,10.0,4.0,40,22.71676970633694
2021,Week 41,2021-10-11,61052.0,2613.0,10.0,4.0,41,23.364714887102945
2021,Week 42,2021-10-18,60672.0,2569.0,10.0,4.0,42,23.616971584274037
2021,Week 43,2021-10-25,61213.0,2561.0,10.0,4.0,43,23.90199140960562
2021,Week 44,2021-11-01,61593.0,2587.0,11.0,4.0,44,23.80865867800541
2021,Week 45,2021-11-08,63555.0,2579.0,11.0,4.0,45,24.64327258627375
2021,Week 46,2021-11-15,62952.0,2589.0,11.0,4.0,46,24.31517960602549
2021,Week 48,2021-11-29,63695.0,2617.0,11.0,4.0,48,24.338937714940773
2021,Week 49,2021-12-06,62716.0,2609.0,12.0,4.0,49,24.03832886163281
2021,Week 50,2021-12-13,61137.0,2617.0,12.0,4.0,50,23.361482613679787
2021,Week 51,2021-12-20,38741.0,2138.0,12.0,4.0,51,18.120205799812908
2022,Week 1,2022-01-03,41311.0,2408.0,1.0,1.0,1,17.155730897009967
2022,Week 6,2022-01-07,55347.0,2555.0,1.0,1.0,1,21.662230919765165
2022,Week 2,2022-01-10,44766.0,2562.0,1.0,1.0,2,17.473067915690866
2022,Week 3,2022-01-17,48573.0,2571.0,1.0,1.0,3,18.8926487747958
2022,Week 4,2022-01-24,49246.0,2584.0,1.0,1.0,4,19.058049535603715
2022,Week 5,2022-01-31,53876.0,2543.0,1.0,1.0,5,21.186000786472672
2022,Week 7,2022-02-14,57132.0,2544.0,2.0,1.0,7,22.45754716981132
2022,Week 8,2022-02-21,58881.0,2548.0,2.0,1.0,8,23.108712715855575
2022,Week 9,2022-02-28,62023.0,2583.0,2.0,1.0,9,24.012001548586916
2022,Week 10,2022-03-07,60655.0,2592.0,3.0,1.0,10,23.400848765432098
2022,Week 11,2022-03-14,66386.0,2596.0,3.0,1.0,11,25.57241910631741
2022,Week 12,2022-03-21,65959.0,2600.0,3.0,1.0,12,25.368846153846153
2022,Week 13,2022-03-28,65991.0,2581.0,3.0,1.0,13,25.56799690042619
2022,Week 14,2022-04-04,66279.0,2588.0,4.0,2.0,14,25.61012364760433
